Matrícula,Nome do Aluno,E-mail,(1º Período) Ativ. Integradoras I,(1º Período) Bases Morfofuncionais,(1º Período) Bioquímica Mol. e Metab. I,(1º Período) Fund. Pesquisa Medicina I,(1º Período) Saúde e Sociedade I,(1º Período) Sociologia e Antropologia I,(2º Período) Ativ. Integradoras II,(2º Período) Biologia Molecular,(2º Período) Bioquímica Mol. e Metab. II,(2º Período) Habilidades Médicas I,(2º Período) Saúde e Sociedade II,(2º Período) Sist. Int. - Nervoso/Endócrino,(2º Período) Sist. Int. - Digestório/Reprodutor,(3º Período) Ativ. Integradoras III,(3º Período) Interação Agente Hosp. I,(3º Período) Imunologia Básica,(3º Período) Farmacologia I,(3º Período) Fund. Pesquisa Medicina II,(3º Período) Habilidades Médicas II,(3º Período) Saúde e Sociedade III,(3º Período) Sist. Int. - Cardiocirc.,(3º Período) Sist. Int. - Resp./Urinário,(3º Período) Sociologia e Antropologia II,(4º Período) Imunologia Clínica,(4º Período) Interação Agente Hosp. II,(4º Período) Farmacologia II,(4º Período) Fisiopatologia,(4º Período) Habilidades Médicas III,(4º Período) Patologia Geral,(4º Período) Saúde Mental I,(4º Período) Semiologia I,(5º Período) Medicina Legal,(5º Período) Patologia Especial,(5º Período) Saúde Mental II,(5º Período) Semiologia II,(5º Período) Semiologia Criança/Adol.,(6º Período) Dermatologia,(6º Período) Doenças Infec. e Parasitárias,(6º Período) Epidemiologia Clínica,(6º Período) Raciocínio Clínico,(6º Período) Otorrinolaringologia,(6º Período) Semiologia Ginec./Obst.,(7º Período) Clínica Criança/Adol.,(7º Período) Clínica Ginec./Obst.,(7º Período) Clínica Médica I,(7º Período) Ortopedia,(7º Período) Oftalmologia,(8º Período) Clínica Cirúrgica,(8º Período) Clínica Médica II,(8º Período) Saúde Mental III,(8º Período) Urgência e Emergência,(9º Período) Internato Clínica Médica,(9º Período) Internato Pediatria,(10º Período) Internato Cirurgia,(10º Período) Internato Ginecologia/Obstetrícia,(11º Período) Internato Saúde Mental,(11º Período) Internato Urgência e Emergência,(12º Período) Internato Saúde da Família,(12º Período) Internato Eletivo
20230335,Eduardo Alves Martins,eduardo.alves.martins@medicina.ficticio.edu,6.1,5.6,8.2,8.6,8.5,9.8,7.6,5.4,8.4,8.7,6.1,5.4,8.6,8.1,6.5,7.5,9.9,6.5,6.1,6.2,5.2,7.4,7.0,6.0,8.8,5.7,7.6,9.9,8.6,7.6,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230336,Julia Carvalho Martins,julia.carvalho.martins@medicina.ficticio.edu,6.7,7.6,7.9,9.2,5.9,6.3,5.6,6.4,8.0,5.1,9.1,8.1,5.7,6.1,8.3,9.7,8.5,5.4,5.5,9.3,6.5,7.8,8.0,10.0,6.8,5.4,5.0,8.9,5.2,5.0,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230337,Eduardo Souza Rodrigues,eduardo.souza.rodrigues@medicina.ficticio.edu,5.0,8.4,6.3,9.4,9.8,7.4,6.8,9.1,6.6,9.2,7.1,7.1,6.7,8.3,7.9,8.8,5.4,7.4,5.9,8.4,7.9,7.8,5.9,8.2,6.8,9.6,9.1,6.2,5.3,5.2,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230338,Sofia Santos Souza,sofia.santos.souza@medicina.ficticio.edu,7.4,8.6,7.6,6.6,8.7,8.6,5.7,5.5,8.8,7.8,6.9,6.8,8.4,7.3,7.1,8.8,9.9,7.7,7.1,8.8,8.9,5.5,9.1,9.5,5.2,8.9,9.2,9.1,5.3,5.4,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230339,Tiago Pereira Gomes,tiago.pereira.gomes@medicina.ficticio.edu,9.2,8.8,6.6,6.8,8.9,6.9,5.2,9.5,9.5,7.9,6.1,6.1,7.2,6.9,7.5,7.2,6.0,9.5,8.2,9.9,6.1,9.4,9.2,6.8,5.1,6.2,5.7,5.8,9.7,9.1,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230340,Rafael Gomes Almeida,rafael.gomes.almeida@medicina.ficticio.edu,7.1,5.6,5.4,5.5,7.8,7.8,7.1,8.0,8.0,7.0,8.3,5.8,7.8,5.2,8.4,8.6,8.8,8.5,9.3,6.3,9.4,9.1,5.2,7.1,5.6,10.0,6.6,5.9,5.6,5.3,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230341,Sofia Alves Silva,sofia.alves.silva@medicina.ficticio.edu,6.9,6.6,7.7,8.0,9.2,8.7,8.2,7.9,6.8,8.4,8.6,9.8,8.5,5.6,5.7,7.0,6.8,8.1,7.6,8.4,9.0,6.3,5.6,7.7,9.5,8.3,5.1,5.7,5.7,9.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230342,Yasmin Santos Ferreira,yasmin.santos.ferreira@medicina.ficticio.edu,6.2,9.1,7.4,6.0,6.7,5.6,5.4,8.3,6.5,8.5,5.4,8.5,7.4,5.1,5.2,6.3,6.2,5.4,6.4,8.8,5.4,6.5,9.2,8.3,8.8,9.3,6.4,6.2,9.1,9.2,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230343,Bruno Carvalho Almeida,bruno.carvalho.almeida@medicina.ficticio.edu,6.0,6.0,5.9,6.0,5.7,6.5,7.9,6.2,9.9,5.1,6.5,8.7,9.9,5.5,8.0,7.8,8.4,8.8,8.6,6.9,7.2,9.9,8.0,5.4,6.2,8.7,7.8,9.6,5.1,5.2,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230344,Zeca Martins Lima,zeca.martins.lima@medicina.ficticio.edu,6.2,7.3,9.6,9.1,5.6,5.8,6.4,7.2,10.0,6.0,6.0,6.9,8.1,9.8,6.0,8.8,5.8,9.0,8.5,9.0,7.3,7.8,9.2,5.8,7.7,6.4,6.6,8.0,7.4,8.1,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230345,Eduardo Lima Santos,eduardo.lima.santos@medicina.ficticio.edu,6.2,6.0,7.3,8.7,9.4,5.3,7.1,9.0,5.4,5.2,8.3,5.7,9.9,9.1,5.6,5.1,7.3,9.6,6.0,6.2,5.9,5.9,6.4,5.4,5.1,5.1,5.9,5.8,7.8,9.3,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230346,Helena Martins Ribeiro,helena.martins.ribeiro@medicina.ficticio.edu,8.6,5.1,6.5,7.0,9.0,9.4,5.9,6.5,5.2,5.2,7.9,9.3,6.2,9.1,8.3,5.8,9.0,6.9,9.0,9.0,8.1,6.2,6.1,5.6,8.6,6.8,9.6,5.2,7.4,7.7,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230347,Olivia Almeida Costa,olivia.almeida.costa@medicina.ficticio.edu,6.4,8.2,6.8,8.4,5.7,5.6,8.1,9.1,6.6,6.2,6.0,6.5,7.8,8.1,6.7,5.4,5.2,5.9,5.1,5.6,5.2,5.6,6.3,6.6,5.4,8.3,8.9,8.8,7.5,7.8,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230348,Gabriel Santos Gomes,gabriel.santos.gomes@medicina.ficticio.edu,6.1,8.5,5.3,8.9,8.5,6.8,6.1,9.0,8.5,7.7,6.2,9.9,5.8,9.8,5.0,8.7,8.6,10.0,6.5,9.5,9.9,6.4,5.9,8.7,9.3,8.2,5.9,7.2,9.3,5.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230349,Rafael Pereira Gomes,rafael.pereira.gomes@medicina.ficticio.edu,8.6,9.0,8.2,8.7,6.5,9.6,9.0,5.6,6.5,8.6,6.5,8.8,5.5,7.1,6.9,7.2,6.8,8.1,6.6,7.2,7.4,9.1,9.9,6.8,7.2,5.3,9.3,6.4,6.1,9.0,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230350,Olivia Costa Alves,olivia.costa.alves@medicina.ficticio.edu,9.7,6.5,5.9,7.3,6.3,7.4,9.1,9.3,6.5,6.5,8.7,9.7,9.7,9.6,6.7,6.2,6.6,7.6,5.3,9.8,6.7,9.1,9.6,8.0,8.9,9.2,5.9,8.5,7.2,5.7,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230351,Rafael Alves Alves,rafael.alves.alves@medicina.ficticio.edu,8.9,8.4,7.4,8.3,9.5,5.5,9.5,7.1,8.6,6.4,7.7,5.1,6.5,8.7,8.9,7.4,6.9,6.4,9.4,9.5,9.4,5.3,9.7,8.4,6.1,7.2,5.6,8.8,8.4,6.3,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230352,Rafael Ferreira Almeida,rafael.ferreira.almeida@medicina.ficticio.edu,7.7,8.2,6.3,9.6,9.5,9.3,6.3,6.1,7.0,8.7,6.9,5.2,7.0,6.7,7.7,9.5,7.4,5.0,9.8,6.1,7.8,5.7,9.4,8.0,9.7,6.8,8.4,7.9,7.1,5.2,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230353,Mariana Pereira Lima,mariana.pereira.lima@medicina.ficticio.edu,8.5,6.2,6.1,7.8,6.5,5.6,5.5,9.4,7.0,6.3,7.0,9.7,8.2,9.3,9.9,9.8,7.0,7.6,6.3,6.4,6.5,7.5,10.0,9.4,5.9,6.6,5.2,6.3,9.1,7.9,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230354,Ana Almeida Costa,ana.almeida.costa@medicina.ficticio.edu,7.3,8.9,5.3,8.7,6.4,6.8,7.7,8.2,7.1,5.7,5.1,8.6,9.1,5.9,5.9,7.5,5.3,5.7,5.6,7.3,9.6,8.3,8.9,7.8,9.2,6.8,6.0,8.9,8.3,7.6,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230355,Pedro Lima Alves,pedro.lima.alves@medicina.ficticio.edu,8.7,9.7,6.6,8.7,6.9,7.7,6.0,5.1,8.3,7.0,7.6,9.0,5.7,6.9,9.1,9.7,8.8,6.0,7.8,9.3,9.6,5.6,5.3,6.7,8.6,7.8,8.7,6.1,9.3,7.9,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230356,Mariana Martins Alves,mariana.martins.alves@medicina.ficticio.edu,5.0,9.0,8.3,5.5,7.0,5.6,8.1,6.2,5.3,7.6,5.5,9.2,7.2,5.7,8.2,8.2,6.5,5.1,7.4,8.2,7.0,5.9,5.2,8.2,6.0,7.4,7.7,7.4,8.6,9.9,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230357,Lucas Alves Carvalho,lucas.alves.carvalho@medicina.ficticio.edu,7.3,7.8,5.5,8.6,5.6,8.7,9.3,6.1,5.5,6.2,6.5,7.4,6.1,7.3,8.9,8.6,8.8,7.4,8.3,9.5,7.6,7.7,8.7,5.4,9.0,10.0,9.4,8.3,8.6,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230358,Mariana Lima Lima,mariana.lima.lima@medicina.ficticio.edu,9.1,6.0,9.9,8.8,8.6,6.3,6.3,9.1,6.2,8.5,6.3,5.1,8.1,9.8,8.9,7.7,7.6,5.4,5.5,6.0,8.9,8.2,6.8,8.9,5.9,6.0,7.5,6.6,5.6,9.8,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230359,Bruno Alves Gomes,bruno.alves.gomes@medicina.ficticio.edu,9.2,8.3,6.8,5.0,9.1,7.6,6.1,7.0,8.5,6.6,9.4,9.8,6.9,9.8,6.8,9.5,9.5,7.9,9.1,8.3,7.6,5.7,5.1,5.6,6.5,5.1,6.1,7.4,9.4,8.2,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230360,Ursula Santos Ribeiro,ursula.santos.ribeiro@medicina.ficticio.edu,5.2,8.7,8.6,7.7,6.4,8.6,8.7,5.1,8.0,6.4,7.6,7.1,5.8,6.1,7.5,5.2,6.8,9.9,10.0,7.0,5.5,9.2,9.8,6.6,7.2,8.8,10.0,7.0,8.2,9.4,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230361,Mariana Souza Santos,mariana.souza.santos@medicina.ficticio.edu,9.5,6.7,9.1,9.3,8.1,9.1,7.0,6.3,9.2,5.4,8.9,6.6,7.8,8.0,6.4,8.7,9.1,8.0,6.9,5.4,6.7,5.2,7.0,5.2,5.7,8.1,8.2,8.3,8.9,5.7,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230362,Gabriel Silva Martins,gabriel.silva.martins@medicina.ficticio.edu,8.8,8.9,8.4,8.1,8.8,6.8,6.6,6.6,5.0,7.5,9.3,5.6,5.7,9.7,5.6,8.0,9.0,8.9,6.0,7.7,7.4,8.8,6.2,6.0,6.4,7.8,9.2,5.5,6.1,5.7,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230363,Gabriel Carvalho Martins,gabriel.carvalho.martins@medicina.ficticio.edu,9.8,6.4,8.4,7.8,5.6,8.2,7.6,7.6,9.8,9.3,6.8,9.0,7.5,6.0,6.4,8.5,8.2,9.8,5.4,5.4,9.2,9.2,7.3,5.1,9.8,7.1,8.2,7.1,7.4,8.4,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230364,Vitor Souza Alves,vitor.souza.alves@medicina.ficticio.edu,9.0,9.8,5.8,8.6,9.9,9.2,7.0,7.3,7.6,5.8,6.4,8.4,8.3,5.7,5.2,5.3,9.7,8.1,9.6,9.2,9.5,6.9,6.3,6.5,7.2,5.7,5.1,7.7,6.7,9.8,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230365,Lucas Ferreira Almeida,lucas.ferreira.almeida@medicina.ficticio.edu,9.2,9.7,8.7,5.5,9.0,6.6,6.4,7.7,8.0,9.7,8.1,6.8,5.8,6.6,5.9,5.8,6.5,5.5,8.9,6.1,6.0,8.0,9.2,9.0,5.8,5.3,9.6,9.9,9.4,5.5,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230366,Lucas Gomes Lima,lucas.gomes.lima@medicina.ficticio.edu,8.8,8.8,8.1,5.0,8.9,8.6,5.7,8.3,9.6,5.7,9.4,9.7,5.6,6.9,9.1,5.9,8.0,9.2,6.9,7.1,7.4,6.0,7.6,5.8,5.5,6.5,9.1,7.9,8.9,7.6,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230367,Ursula Almeida Gomes,ursula.almeida.gomes@medicina.ficticio.edu,7.1,6.3,5.2,7.3,5.4,6.5,8.8,7.3,5.8,6.6,9.6,8.1,6.6,8.7,5.1,7.4,5.1,7.5,8.3,9.3,9.7,7.4,5.2,6.4,8.3,9.2,5.3,9.7,8.7,8.8,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230368,Nicolas Martins Ribeiro,nicolas.martins.ribeiro@medicina.ficticio.edu,6.2,8.1,7.7,7.8,7.1,5.7,6.5,6.2,6.8,7.1,6.2,9.4,7.9,6.3,10.0,6.6,6.5,8.6,8.0,6.1,6.1,5.7,5.5,9.9,7.1,7.2,7.3,5.5,6.6,9.8,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230369,Nicolas Santos Santos,nicolas.santos.santos@medicina.ficticio.edu,9.2,8.8,7.2,8.9,7.8,5.7,5.7,8.5,8.9,9.0,9.9,5.9,7.2,6.3,5.1,7.5,6.8,5.8,8.9,8.6,8.8,9.6,8.5,6.6,7.7,5.1,8.7,5.3,8.7,5.5,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230370,Rafael Ribeiro Ribeiro,rafael.ribeiro.ribeiro@medicina.ficticio.edu,8.4,7.7,8.9,9.5,9.1,7.6,7.6,8.4,7.7,9.7,8.5,9.4,5.7,5.7,5.2,9.9,7.4,5.4,9.8,6.5,7.9,8.3,7.3,5.5,7.4,6.6,9.7,5.3,5.7,6.3,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230371,Pedro Alves Silva,pedro.alves.silva@medicina.ficticio.edu,9.6,6.1,9.3,7.0,5.0,5.4,5.0,8.1,6.2,7.1,6.1,9.0,6.7,6.7,5.9,6.8,9.0,8.6,9.5,8.9,7.2,6.9,5.7,5.2,6.9,5.6,6.6,6.6,9.3,5.6,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230372,Carlos Costa Almeida,carlos.costa.almeida@medicina.ficticio.edu,7.3,9.6,6.4,8.6,9.7,7.9,8.5,7.3,9.0,6.0,5.0,8.1,9.1,8.7,7.1,5.9,9.1,7.4,7.2,8.3,7.8,7.4,6.0,7.1,6.2,9.4,9.3,7.2,5.1,7.4,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230373,Quintino Silva Oliveira,quintino.silva.oliveira@medicina.ficticio.edu,5.2,6.8,6.2,8.5,5.4,6.6,9.9,7.7,9.4,9.8,5.9,8.4,6.6,8.6,9.8,8.6,6.1,6.8,9.7,6.5,5.8,6.0,9.4,7.3,5.1,8.2,5.0,9.7,9.8,8.6,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230374,Helena Almeida Pereira,helena.almeida.pereira@medicina.ficticio.edu,9.3,7.3,7.0,8.6,10.0,5.8,8.8,9.6,6.6,8.6,8.6,8.4,9.4,8.3,7.7,8.3,8.0,8.5,6.7,6.5,8.4,5.9,9.0,8.5,7.8,8.7,8.1,5.7,8.1,6.5,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230375,Nicolas Carvalho Martins,nicolas.carvalho.martins@medicina.ficticio.edu,5.3,5.2,9.0,7.7,9.1,7.0,9.6,6.5,7.1,6.8,8.9,9.2,6.2,5.3,6.3,9.1,5.8,8.0,9.3,6.6,5.6,5.7,5.2,5.7,5.0,5.4,6.5,6.7,7.1,5.4,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230376,Vitor Silva Ferreira,vitor.silva.ferreira@medicina.ficticio.edu,9.7,5.2,6.1,6.5,9.6,6.3,7.1,6.3,6.5,8.6,9.5,9.6,6.3,6.8,5.5,8.1,6.9,6.3,6.0,5.6,7.8,7.1,7.7,5.9,9.8,8.2,7.9,7.7,5.8,8.9,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230377,Vitor Lima Rodrigues,vitor.lima.rodrigues@medicina.ficticio.edu,5.9,8.8,8.1,9.7,8.5,5.5,8.5,8.6,6.3,9.8,9.2,5.1,6.7,6.7,9.7,6.0,7.3,7.0,9.7,5.9,9.9,5.8,5.6,8.4,9.0,7.3,6.8,6.6,9.6,6.2,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230378,Daniela Gomes Oliveira,daniela.gomes.oliveira@medicina.ficticio.edu,8.7,6.4,7.1,5.6,9.7,7.3,7.8,5.0,8.4,5.8,7.0,5.5,7.6,5.5,5.9,8.5,9.4,5.4,7.1,8.7,7.7,8.7,5.5,8.7,6.0,8.7,9.6,5.4,9.6,8.3,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230379,Olivia Souza Ribeiro,olivia.souza.ribeiro@medicina.ficticio.edu,7.1,8.3,9.1,6.0,6.3,8.0,7.3,8.7,6.9,8.6,8.3,5.6,6.2,5.7,9.1,7.3,9.0,8.0,6.8,8.5,8.9,7.9,6.4,7.7,8.6,5.0,5.8,9.3,7.1,9.7,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230380,Sofia Ribeiro Rodrigues,sofia.ribeiro.rodrigues@medicina.ficticio.edu,8.7,7.2,7.0,6.8,8.4,8.7,5.1,6.5,5.7,9.8,5.2,8.5,7.7,7.1,8.9,7.3,9.8,8.2,8.8,8.4,9.1,9.3,7.2,8.9,9.5,6.2,9.8,9.2,9.8,7.7,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230381,Ana Carvalho Ferreira,ana.carvalho.ferreira@medicina.ficticio.edu,8.2,6.5,6.8,7.2,9.2,8.5,9.1,5.8,6.8,8.4,9.3,7.0,7.4,9.0,8.8,8.6,6.8,5.5,7.1,6.9,7.7,5.4,7.5,6.6,9.1,6.7,7.6,8.5,7.3,9.3,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230382,Igor Costa Rodrigues,igor.costa.rodrigues@medicina.ficticio.edu,6.8,5.7,6.2,8.1,5.7,5.3,9.3,8.8,9.2,8.0,9.3,8.5,6.5,5.1,9.0,8.8,7.8,5.1,6.6,5.0,7.7,9.0,7.2,8.2,7.6,6.0,8.4,6.3,8.5,6.0,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230383,Tiago Carvalho Almeida,tiago.carvalho.almeida@medicina.ficticio.edu,8.4,7.0,9.0,8.9,6.4,9.3,9.9,7.9,5.9,8.4,8.8,7.2,7.2,9.9,7.5,7.1,8.4,6.9,6.1,7.2,5.3,5.2,6.0,5.1,7.4,8.6,8.6,9.6,8.7,5.3,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230384,Eduardo Rodrigues Lima,eduardo.rodrigues.lima@medicina.ficticio.edu,5.4,9.9,9.7,6.3,6.0,7.2,7.6,7.3,7.9,7.5,8.0,6.2,6.9,6.5,9.7,6.9,5.9,9.7,7.8,9.0,8.3,7.6,8.5,6.4,7.2,8.1,9.5,9.5,6.9,9.3,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230385,Gabriel Souza Carvalho,gabriel.souza.carvalho@medicina.ficticio.edu,8.1,5.9,6.8,6.7,6.6,8.6,6.7,10.0,8.3,9.7,9.7,7.5,7.3,7.4,9.8,9.2,9.6,8.3,8.7,9.6,6.5,8.6,6.4,7.8,7.7,5.0,7.2,9.9,7.8,9.3,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230386,Yasmin Carvalho Alves,yasmin.carvalho.alves@medicina.ficticio.edu,7.5,7.1,5.4,6.7,9.7,7.0,9.5,9.4,8.4,6.3,5.0,5.4,6.6,7.3,7.3,6.5,7.8,8.8,8.4,6.8,6.1,6.3,5.2,9.0,6.6,8.0,8.3,9.4,7.3,8.6,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230387,Yasmin Costa Almeida,yasmin.costa.almeida@medicina.ficticio.edu,8.0,9.3,9.5,7.4,7.3,9.1,9.5,6.5,6.4,7.3,6.6,9.6,9.9,6.6,5.2,6.4,6.4,9.9,6.7,8.1,7.0,5.3,6.0,6.1,6.8,9.0,6.2,6.9,5.1,9.1,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230388,Fernanda Costa Ferreira,fernanda.costa.ferreira@medicina.ficticio.edu,5.1,6.4,10.0,9.3,6.5,7.2,7.9,9.0,5.5,5.4,6.7,5.2,6.8,7.1,5.9,9.4,7.5,9.5,6.8,6.7,7.4,5.0,9.2,7.6,9.8,6.2,7.5,9.6,8.4,9.1,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230389,Ana Silva Martins,ana.silva.martins@medicina.ficticio.edu,6.9,8.8,9.6,5.9,8.1,5.9,8.0,8.9,6.5,9.1,9.9,9.6,7.4,8.7,7.7,6.8,8.3,6.8,6.4,9.6,9.2,8.1,7.8,6.3,7.9,9.3,9.9,7.8,9.5,9.8,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230390,Sofia Rodrigues Santos,sofia.rodrigues.santos@medicina.ficticio.edu,9.8,9.0,7.0,5.8,7.3,6.1,5.8,6.8,7.1,8.8,6.6,8.4,5.1,8.7,5.7,6.3,5.2,7.4,6.0,5.6,8.1,7.2,6.2,7.5,5.0,7.2,5.8,9.2,6.7,5.3,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230391,Ana Ribeiro Oliveira,ana.ribeiro.oliveira@medicina.ficticio.edu,8.2,8.3,9.3,6.8,7.2,8.7,6.1,8.3,7.9,6.7,9.2,7.7,5.3,7.8,9.8,5.5,10.0,5.6,6.3,7.1,6.8,7.4,5.1,6.7,6.9,7.0,6.1,6.4,5.3,5.5,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230392,Zeca Alves Carvalho,zeca.alves.carvalho@medicina.ficticio.edu,6.5,5.8,8.0,5.3,9.9,5.8,7.9,7.3,8.3,9.7,6.4,7.5,9.6,9.0,6.1,6.0,8.5,8.3,7.5,6.2,9.2,8.3,7.3,5.8,5.4,7.4,6.8,9.6,6.5,6.2,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230393,Pedro Alves Alves,pedro.alves.alves@medicina.ficticio.edu,8.1,8.6,6.3,6.4,9.0,6.8,8.8,5.4,9.3,8.0,7.9,6.9,8.5,9.9,7.5,7.1,6.7,8.9,9.4,7.3,7.1,10.0,7.6,9.8,5.2,5.2,9.3,5.5,8.2,8.0,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230394,Sofia Almeida Ribeiro,sofia.almeida.ribeiro@medicina.ficticio.edu,5.2,6.7,7.3,8.7,6.9,8.5,9.1,9.7,8.5,7.9,5.6,8.0,8.7,9.3,5.1,8.8,7.5,6.0,7.5,6.3,7.2,7.1,8.2,7.8,7.0,6.9,7.0,7.3,7.1,6.5,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230395,Helena Ribeiro Gomes,helena.ribeiro.gomes@medicina.ficticio.edu,8.6,6.0,9.2,8.5,9.8,7.8,6.5,6.5,7.4,9.7,7.3,8.0,7.6,8.9,6.9,5.3,5.9,8.0,5.0,6.2,7.6,6.8,9.9,5.4,7.9,5.3,9.8,5.6,8.3,8.7,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230396,Ana Gomes Santos,ana.gomes.santos@medicina.ficticio.edu,6.7,8.8,6.5,9.3,7.1,5.7,9.0,8.9,9.1,8.0,8.6,7.6,9.9,5.1,8.6,8.2,6.5,7.0,7.0,8.6,5.4,5.5,7.5,8.2,7.3,8.7,5.6,7.1,8.3,6.7,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230397,Fernanda Pereira Ribeiro,fernanda.pereira.ribeiro@medicina.ficticio.edu,9.7,9.5,5.2,8.3,9.6,6.8,7.7,9.9,7.2,9.4,7.8,6.0,8.6,6.7,6.8,9.5,6.1,7.2,8.5,9.4,5.1,8.9,6.4,5.3,5.2,9.5,6.3,6.3,5.7,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230398,Ana Ferreira Oliveira,ana.ferreira.oliveira@medicina.ficticio.edu,7.1,9.8,5.4,6.6,6.5,10.0,7.4,7.6,9.3,8.2,6.0,7.6,8.5,6.1,7.2,9.9,8.0,9.0,9.1,8.8,8.5,7.0,8.5,9.6,7.9,5.3,7.2,6.9,9.7,7.9,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230399,Carlos Alves Oliveira,carlos.alves.oliveira@medicina.ficticio.edu,9.4,5.8,8.2,8.4,6.4,9.1,7.2,8.5,7.3,8.4,5.5,9.7,8.3,5.8,5.4,5.4,8.1,5.6,6.4,7.5,5.3,8.9,5.5,8.0,6.1,9.6,5.5,5.9,7.4,6.3,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230400,Lucas Martins Oliveira,lucas.martins.oliveira@medicina.ficticio.edu,9.1,9.0,5.3,8.1,6.6,6.0,5.5,5.6,8.1,5.4,5.8,5.1,5.1,7.0,9.1,8.2,8.3,9.9,8.2,7.8,9.9,5.1,7.9,8.7,9.0,5.7,6.3,9.7,7.3,5.0,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230401,Aluno Teste 5P,5teste@teste,6.2,5.4,9.8,8.3,10.0,5.9,8.4,9.0,10.0,9.8,7.0,6.6,9.8,6.4,5.4,7.9,9.0,7.6,9.8,7.4,7.7,9.9,8.2,5.2,6.0,6.8,9.2,8.0,8.5,8.9,7.1,9.6,6.3,5.7,6.7,9.8,,,,,,,,,,,,,,,,,,,,,,,
